name;power;accuracy;damage_class;priority;type
dynamax-cannon;100.0;100.0;special;0;dragon
snipe-shot;80.0;100.0;special;0;water
jaw-lock;80.0;100.0;physical;0;dark
stuff-cheeks;;;status;0;normal
no-retreat;;;status;0;fighting
tar-shot;;100.0;status;0;rock
magic-powder;;100.0;status;0;psychic
dragon-darts;50.0;100.0;physical;0;dragon
teatime;;;status;0;normal
octolock;;100.0;status;0;fighting
bolt-beak;85.0;100.0;physical;0;electric
fishious-rend;85.0;100.0;physical;0;water
court-change;;100.0;status;0;normal
max-flare;100.0;;physical;0;fire
max-flutterby;10.0;;physical;0;bug
max-lightning;10.0;;physical;0;electric
max-strike;10.0;;physical;0;normal
max-knuckle;10.0;;physical;0;fighting
max-phantasm;10.0;;physical;0;ghost
max-hailstorm;10.0;;physical;0;ice
max-ooze;10.0;;physical;0;poison
max-geyser;10.0;;physical;0;water
max-airstream;10.0;;physical;0;flying
max-starfall;10.0;;physical;0;fairy
max-wyrmwind;10.0;;physical;0;dragon
max-mindstorm;10.0;;physical;0;psychic
max-rockfall;10.0;;physical;0;rock
max-quake;10.0;;physical;0;ground
max-darkness;10.0;;physical;0;dark
max-overgrowth;10.0;;physical;0;grass
max-steelspike;10.0;;physical;0;steel
clangorous-soul;;100.0;status;0;dragon
body-press;80.0;100.0;physical;0;fighting
decorate;;;status;0;fairy
drum-beating;80.0;100.0;physical;0;grass
snap-trap;35.0;100.0;physical;0;grass
pyro-ball;120.0;90.0;physical;0;fire
behemoth-blade;100.0;100.0;physical;0;steel
behemoth-bash;100.0;100.0;physical;0;steel
aura-wheel;110.0;100.0;physical;0;electric
breaking-swipe;60.0;100.0;physical;0;dragon
branch-poke;40.0;100.0;physical;0;grass
overdrive;80.0;100.0;special;0;electric
apple-acid;80.0;100.0;special;0;grass
grav-apple;80.0;100.0;physical;0;grass
spirit-break;75.0;100.0;physical;0;fairy
strange-steam;90.0;95.0;special;0;fairy
life-dew;;;status;0;water
obstruct;;100.0;status;4;dark
false-surrender;80.0;;physical;0;dark
meteor-assault;150.0;100.0;physical;0;fighting
eternabeam;160.0;90.0;special;0;dragon
steel-beam;140.0;95.0;special;0;steel
expanding-force;80.0;100.0;special;0;psychic
steel-roller;130.0;100.0;physical;0;steel
scale-shot;25.0;90.0;physical;0;dragon
meteor-beam;120.0;90.0;special;0;rock
shell-side-arm;90.0;100.0;special;0;poison
misty-explosion;100.0;100.0;special;0;fairy
grassy-glide;55.0;100.0;physical;0;grass
rising-voltage;70.0;100.0;special;0;electric
terrain-pulse;50.0;100.0;special;0;normal
skitter-smack;70.0;90.0;physical;0;bug
burning-jealousy;70.0;100.0;special;0;fire
lash-out;75.0;100.0;physical;0;dark
poltergeist;110.0;90.0;physical;0;ghost
corrosive-gas;;100.0;status;0;poison
coaching;;;status;0;fighting
flip-turn;60.0;100.0;physical;0;water
triple-axel;20.0;90.0;physical;0;ice
dual-wingbeat;40.0;90.0;physical;0;flying
scorching-sands;70.0;100.0;special;0;ground
jungle-healing;;;status;0;grass
wicked-blow;75.0;100.0;physical;0;dark
surging-strikes;25.0;100.0;physical;0;water
thunder-cage;80.0;90.0;special;0;electric
dragon-energy;150.0;100.0;special;0;dragon
freezing-glare;90.0;100.0;special;0;psychic
fiery-wrath;90.0;100.0;special;0;dark
thunderous-kick;90.0;100.0;physical;0;fighting
glacial-lance;120.0;100.0;physical;0;ice
astral-barrage;120.0;100.0;special;0;ghost
eerie-spell;80.0;100.0;special;0;psychic
dire-claw;80.0;100.0;physical;0;poison
psyshield-bash;70.0;90.0;physical;0;psychic
power-shift;0.0;;status;0;normal
stone-axe;65.0;90.0;physical;0;rock
springtide-storm;100.0;80.0;special;0;fairy
mystical-power;70.0;90.0;special;0;psychic
raging-fury;120.0;100.0;physical;0;fire
wave-crash;120.0;100.0;physical;0;water
chloroblast;150.0;95.0;special;0;grass
mountain-gale;100.0;85.0;physical;0;ice
victory-dance;0.0;;status;0;fighting
headlong-rush;120.0;100.0;physical;0;ground
barb-barrage;60.0;100.0;physical;0;poison
esper-wing;80.0;100.0;special;0;psychic
bitter-malice;75.0;100.0;special;0;ghost
shelter;0.0;;status;0;steel
triple-arrows;90.0;100.0;physical;0;fighting
infernal-parade;60.0;100.0;special;0;ghost
ceaseless-edge;65.0;90.0;physical;0;dark
bleakwind-storm;100.0;80.0;special;0;flying
wildbolt-storm;100.0;80.0;special;0;electric
sandsear-storm;100.0;80.0;special;0;ground
lunar-blessing;0.0;;status;0;psychic
take-heart;0.0;;status;0;psychic
tera-blast;80.0;100.0;special;0;normal
silk-trap;0.0;;status;4;bug
axe-kick;120.0;90.0;physical;0;fighting
last-respects;50.0;100.0;physical;0;ghost
lumina-crash;80.0;100.0;special;0;psychic
order-up;80.0;100.0;physical;0;dragon
jet-punch;60.0;100.0;physical;1;water
spicy-extract;0.0;;status;0;grass
spin-out;100.0;100.0;physical;0;steel
population-bomb;20.0;90.0;physical;0;normal
ice-spinner;80.0;100.0;physical;0;ice
glaive-rush;120.0;100.0;physical;0;dragon
revival-blessing;0.0;;status;0;normal
salt-cure;40.0;100.0;physical;0;rock
triple-dive;30.0;95.0;physical;0;water
mortal-spin;30.0;100.0;physical;0;poison
doodle;0.0;100.0;status;0;normal
fillet-away;0.0;;status;0;normal
kowtow-cleave;85.0;;physical;0;dark
flower-trick;70.0;;physical;0;grass
torch-song;80.0;100.0;special;0;fire
aqua-step;80.0;100.0;physical;0;water
raging-bull;90.0;100.0;physical;0;normal
make-it-rain;120.0;100.0;special;0;steel
psyblade;80.0;100.0;physical;0;psychic
hydro-steam;80.0;100.0;special;0;water
ruination;1.0;90.0;special;0;dark
collision-course;100.0;100.0;physical;0;fighting
electro-drift;100.0;100.0;special;0;electric
shed-tail;0.0;;status;0;normal
chilly-reception;0.0;;status;0;ice
tidy-up;0.0;;status;0;normal
snowscape;0.0;;status;0;ice
pounce;50.0;100.0;physical;0;bug
trailblaze;50.0;100.0;physical;0;grass
chilling-water;50.0;100.0;special;0;water
hyper-drill;100.0;100.0;physical;0;normal
twin-beam;40.0;100.0;special;0;psychic
rage-fist;50.0;100.0;physical;0;ghost
armor-cannon;120.0;100.0;special;0;fire
bitter-blade;90.0;100.0;physical;0;fire
double-shock;120.0;100.0;physical;0;electric
gigaton-hammer;160.0;100.0;physical;0;steel
comeuppance;1.0;100.0;physical;0;dark
aqua-cutter;70.0;100.0;physical;0;water
blazing-torque;80.0;100.0;physical;0;fire
wicked-torque;80.0;100.0;physical;0;dark
noxious-torque;100.0;100.0;physical;0;poison
combat-torque;100.0;100.0;physical;0;fighting
magical-torque;100.0;100.0;physical;0;fairy
blood-moon;140.0;100.0;special;0;normal
matcha-gotcha;80.0;90.0;special;0;grass
syrup-bomb;60.0;85.0;special;0;grass
ivy-cudgel;100.0;100.0;physical;0;grass
electro-shot;130.0;100.0;special;0;electric
tera-starstorm;120.0;100.0;special;0;normal
fickle-beam;80.0;100.0;special;0;dragon
burning-bulwark;0.0;0.0;status;4;fire
thunderclap;70.0;100.0;special;1;electric
mighty-cleave;95.0;100.0;physical;0;rock
tachyon-cutter;50.0;0.0;special;0;steel
hard-press;0.0;100.0;physical;0;steel
dragon-cheer;0.0;0.0;status;0;dragon
alluring-voice;80.0;100.0;special;0;fairy
temper-flare;75.0;100.0;physical;0;fire
supercell-slam;100.0;95.0;physical;0;electric
psychic-noise;75.0;100.0;special;0;psychic
upper-hand;65.0;100.0;physical;3;fighting
malignant-chain;100.0;100.0;special;0;poison
shadow-rush;55.0;100.0;physical;0;shadow
shadow-blast;80.0;100.0;physical;0;shadow
shadow-blitz;40.0;100.0;physical;0;shadow
shadow-bolt;75.0;100.0;special;0;shadow
shadow-break;75.0;100.0;physical;0;shadow
shadow-chill;75.0;100.0;special;0;shadow
shadow-end;120.0;60.0;physical;0;shadow
shadow-fire;75.0;100.0;special;0;shadow
shadow-rave;70.0;100.0;special;0;shadow
shadow-storm;95.0;100.0;special;0;shadow
shadow-wave;50.0;100.0;special;0;shadow
shadow-down;;100.0;status;0;shadow
shadow-half;;100.0;special;0;shadow
shadow-hold;;;status;0;shadow
shadow-mist;;100.0;status;0;shadow
shadow-panic;;90.0;status;0;shadow
shadow-shed;;;status;0;shadow
shadow-sky;;;status;0;shadow
